company,year,quarter,earnings
Henkel vz,2014,2,"441,000,000.00"
Henkel vz,2014,3,"440,000,000.00"
Henkel vz,2014,4,"298,000,000.00"
Henkel vz,2015,1,"470,000,000.00"
Henkel vz,2015,2,"521,000,000.00"
Henkel vz,2015,3,"484,000,000.00"
Henkel vz,2015,4,"446,000,000.00"
Henkel vz,2016,1,"525,000,000.00"
Henkel vz,2016,2,"561,000,000.00"
Henkel vz,2016,3,"576,000,000.00"
Henkel vz,2016,4,"391,000,000.00"
Henkel vz,2017,1,"597,000,000.00"
Henkel vz,2017,2,"624,000,000.00"
Henkel vz,2017,3,"564,000,000.00"
Henkel vz,2017,4,"734,000,000.00"
Infineon,2012,1,"96,000,000.00"
Infineon,2012,2,"111,000,000.00"
Infineon,2012,3,"82,000,000.00"
Infineon,2012,4,"138,000,000.00"
Infineon,2013,1,"19,000,000.00"
Infineon,2013,2,"33,000,000.00"
Infineon,2013,3,"77,000,000.00"
Infineon,2013,4,"143,000,000.00"
Infineon,2014,1,"87,000,000.00"
Infineon,2014,2,"124,000,000.00"
Infineon,2014,3,"143,000,000.00"
Infineon,2014,4,"181,000,000.00"
Infineon,2015,1,"136,000,000.00"
Infineon,2015,2,"68,000,000.00"
Infineon,2015,3,"109,000,000.00"
Infineon,2015,4,"319,000,000.00"
Infineon,2016,1,"153,000,000.00"
Infineon,2016,2,"180,000,000.00"
Infineon,2016,3,"186,000,000.00"
Infineon,2016,4,"225,000,000.00"
Infineon,2017,1,"161,000,000.00"
Infineon,2017,2,"199,000,000.00"
Infineon,2017,3,"253,000,000.00"
Infineon,2017,4,"177,000,000.00"
Linde,2012,1,"287,000,000.00"
Linde,2012,2,"304,000,000.00"
Linde,2012,3,"313,000,000.00"
Linde,2012,4,"346,000,000.00"
Linde,2013,1,"318,000,000.00"
Linde,2013,2,"342,000,000.00"
Linde,2013,3,"337,000,000.00"
Linde,2013,4,"320,000,000.00"
Linde,2014,1,"290,000,000.00"
Linde,2014,2,"334,000,000.00"
Linde,2014,3,"194,000,000.00"
Linde,2014,4,"284,000,000.00"
Linde,2015,1,"300,000,000.00"
Linde,2015,2,"279,000,000.00"
Linde,2015,3,"281,000,000.00"
Linde,2015,4,"289,000,000.00"
Linde,2016,1,"306,000,000.00"
Linde,2016,2,"326,000,000.00"
Linde,2016,3,"313,000,000.00"
Linde,2016,4,"209,000,000.00"
Linde,2017,1,"317,000,000.00"
Linde,2017,2,"285,000,000.00"
Linde,2017,3,"277,000,000.00"
Linde,2017,4,"555,000,000.00"
Aareal Bank,2012,1,"26,000,000.00"
Aareal Bank,2012,2,"29,000,000.00"
